together,2,2
grunted,,1,1
beds,1,1
longed,2,1
slates'll,1,1
saying,,3,3
'A,4,8
time,19,24
'O,1,1
treading,2,1
'Each,1,1
'I,66,61
Footman's,1,1
'No,',1,1
Nobody,0,1
managed,3,2
'unless,1,1
remarkable,2,2
MYSELF,,1,1
dance,2,2
untwist,1,1
keep,7,8
rudeness,1,1
sour--and,1,1
invent,1,1
'Would,0,3
crocodile,1,1
you've,5,5
scream,,1,1
continued,,2,2
mouse--O,1,1
rosetree;,1,1
milk,1,1
row,1,1
turn;,1,1
certainly,6,7
tea;,1,1
cause,,1,1
uncomfortable.,2,0
'Dinah's,1,1
Lobster;,1,1
Exactly,1,1
ONE,,1,1
witness.,1,0
passage,1,1
accounting,1,1
answered,3,3
speak--and,1,1
unpleasant,2,2
mouse--a,1,1
tea,,1,1
word,,2,2
is--"Be,1,1
month,,1,1
sing,1,3
must,23,13
slowly,,2,2
jogged,1,1
fancied,2,2
brown,1,1
verdict,',2,2
particular;,1,1
we've,2,2
advantage,2,2
is!',2,3
one,,6,5
child:,1,1
child;,1,1
coming!',1,1
keeping,2,2
party.,1,0
tarts,3,3
execution--once,1,1
stays,1,1
cook,2,7
word,6,7
trouble,4,4
child,,1,1
feeble,1,1
minute,4,4
cool,2,2
'Ugh!',1,1
sighed,4,3
best.,1,0
Just,4,3
presented,1,1
did,24,12
whiskers,,1,1
dig,1,1
accidentally,1,1
Atheling,1,1
won?',1,1
WILL,3,3
'Somebody,1,1
settle,1,1
quick,1,1
instead!',1,1
"You,1,2
round,22,17
this?',1,1
it'll,5,6
'Swim,1,1
prevent,1,1
appear,,1,1
brave,1,1
says,4,4
sneezes:,1,1
either!',1,1
too,',1,1
M,,1,1
else.,2,0
man.',1,1
'really,1,1
sign,1,1
sing,',1,1
nose--,1,1
Why,,1,4
cost,1,1
dried,1,1
Soup,,1,1
hair!,1,0
eating,1,1
helpless,1,1
nothing:,1,1
hoarse,2,2
Hare,),1,1
saying.',1,1
irritated,1,1
true,',1,1
sleepy;,1,1
appear,1,1
works!',1,1
shiny?',1,1
downwards,,1,1
repeated,,2,2
pleased,4,4
'he,2,2
Mabel,,2,2
sleepy,,1,1
goes,7,7
saw.,1,0
'Once,',0,1
reply,1,1
falling,2,2
ground,1,2
live.,1,0
filled,3,2
'Fifteenth,',0,1
other--Bill!,1,0
grin.',1,1
dish?,1,0
jury,4,7
else"--but,,1,1
old,,1,1
X.,1,0
afterwards,,1,1
trouble!',1,1
Tortoise,1,1
water,2,2
sorry,1,1
sigh,,1,1
yards,1,1
English,1,1
alone,2,2
say--that's,1,1
along,5,3
say,,5,5
the--',1,1
change,4,5
though.,1,0
box,3,3
sending,2,2
here?,2,0
Writhing,,1,1
trials,,1,1
For,,1,1
lazy,1,1
EVER,1,1
finger,,1,1
mostly,',1,1
wherever,2,2
fancy--Who's,1,1
triumphantly,,1,1
'Stolen!',0,1
trial,3,4
low-spirited.,1,0
here.,2,0
here,,5,6
usually,2,2
ancient,1,1
here!,2,0
see,',1,1
none,,1,1
tomorrow--',1,1
father,,1,1
ground.',1,1
hedgehog,,1,1
Said,4,4
time,',5,3
morals,1,1
myself,,1,1
crimson,2,2
It's,0,6
merely,2,1
follow,,1,1
When,3,4
Soo--oop!,1,0
marked,5,4
housemaid,',1,1
puffed,1,1
Therefore,0,1
be.',1,1
Lory,2,3
barley-sugar,1,1
swallowed,1,1
scaly,1,1
stingy,1,1
it,',13,4
mouse,,2,3
said,),1,1
driest,1,1
angry,2,3
wood.,2,0
ever,',2,2
it,),1,1
mouse?,1,0
wood,1,2
tea,',3,2
somersault,1,1
wondering,6,7
mouse:,1,1
again--"BEFORE,1,1
Those,1,1
loving,1,1
over!',3,3
roared,1,1
entrance,1,1
flung,1,1
garden--how,1,1
Geography.,1,0
triumphantly.,1,0
share,1,1
nearer,,1,1
race-course,,1,1
I--',0,1
bread-and-butter--',1,1
three,,1,1
